OCR_count,audio_val,attention_score,interaction_rate,intent_label
2,1,41,10,passive
2,1,25,0,idle
0,1,47,0,idle
-5,1,50,5,passive
2,1,62,7,passive
2,1,13,2,idle
0,1,58,1,idle
1,0,56,2,idle
24,2,61,29,studying
1000,0,10,0,idle
1,0,49,2,idle
1000,0,10,0,idle
2,1,58,8,passive
2,0,53,1,idle
2,0,30,1,idle
2,0,27,1,idle
45,2,88,45,studying
2,1,38,2,idle
4,1,40,8,passive
0,0,47,0,idle
1,0,53,0,idle
5,1,50,10,passive
47,2,66,50,studying
2,1,52,2,idle
35,2,92,47,studying
4,1,51,8,passive
1,1,63,3,passive
5,1,50,10,passive
18,2,63,38,studying
50,2,64,29,studying
5,1,50,4,passive
19,2,79,19,studying
1,1,50,2,passive
5,1,47,6,passive
3,1,68,7,passive
36,2,76,19,studying
1,1,49,0,idle
43,2,86,21,studying
0,0,21,0,idle
24,2,94,48,studying
5,1,62,10,passive
0,0,47,1,idle
1,1,35,0,idle
5,1,45,3,passive
0,0,25,2,idle
22,2,60,42,studying
2,1,500,5,studying
2,0,27,1,idle
2,0,38,0,idle
0,0,46,0,idle
-5,1,50,5,passive
20,2,72,25,studying
3,1,56,7,passive
4,1,58,7,passive
1,1,61,10,passive
28,2,98,19,studying
3,1,51,5,passive
0,0,20,100,passive
1,1,58,5,passive
1,1,14,1,idle
1,1,70,5,passive
1,1,67,8,passive
35,2,73,35,studying
2,1,45,7,passive
0,1,41,0,idle
41,2,77,39,studying
1,1,56,3,passive
19,2,96,27,studying
0,0,16,1,idle
3,1,64,2,passive
1,1,20,1,idle
-5,1,50,5,passive
1,1,15,0,idle
5000,2,100,200,studying
1,1,64,4,passive
2,1,41,10,passive
0,2,10,1,passive
0,0,33,2,idle
20,2,76,43,studying
1,1,57,5,passive
2,0,28,1,idle
5,1,55,3,passive
2,1,49,9,passive
4,1,45,8,passive
2,1,13,1,idle
2,1,47,6,passive
5,1,42,4,passive
0,0,45,2,idle
2,1,26,0,idle
3,1,44,8,passive
1,0,29,2,idle
2,0,26,1,idle
2,1,68,3,passive
1,0,19,0,idle
2,0,45,2,idle
0,0,0,0,idle
1,0,32,1,idle
36,2,88,14,studying
5,1,59,7,passive
40,2,75,21,studying
0,0,3,1,idle
0,1,5,2,idle
36,2,63,30,studying
5000,2,100,200,studying
4,1,53,3,passive
7,2,90,49,studying
3,1,70,9,passive
2,1,67,2,passive
4,1,55,5,passive
0,0,9,2,idle
43,2,74,48,studying
1,0,51,2,idle
2,0,43,0,idle
8,2,99,44,studying
5,1,42,5,passive
2,1,500,5,studying
-5,1,50,5,passive
33,2,72,9,studying
-5,1,50,5,passive
3,1,48,2,passive
1,1,61,8,passive
1,1,11,0,idle
2,0,25,0,idle
3,1,57,2,passive
2,1,9,2,idle
15,2,69,40,studying
5,1,46,6,passive
2,1,500,5,studying
2,0,35,2,idle
48,2,88,38,studying
14,2,80,32,studying
2,1,3,1,idle
1,0,43,2,idle
31,2,83,35,studying
40,2,71,31,studying
19,2,96,12,studying
5,2,98,13,studying
2,1,500,5,studying
33,2,71,50,studying
0,0,22,2,idle
2,1,29,1,idle
5,1,68,6,passive
2,1,1,0,idle
32,2,86,23,studying
5,2,64,45,studying
2,1,61,8,passive
2,1,65,2,passive
1,1,36,1,idle
37,2,74,24,studying
47,2,64,33,studying
2,0,8,2,idle
41,2,79,17,studying
13,2,100,22,studying
0,0,18,2,idle
2,1,59,0,idle
1,1,55,8,passive
13,2,65,14,studying
38,2,73,34,studying
7,2,100,47,studying
4,1,60,6,passive
1,1,58,3,passive
5,1,67,5,passive
4,1,40,6,passive
1000,0,10,0,idle
0,1,35,2,idle
37,2,66,37,studying
2,1,48,2,passive
35,2,93,29,studying
4,1,56,6,passive
0,0,20,100,passive
1,1,16,2,idle
4,1,40,2,passive
13,2,90,14,studying
1,1,62,8,passive
2,1,500,5,studying
4,1,70,2,passive
0,0,20,100,passive
2,1,0,1,idle
0,0,0,0,idle
1000,0,10,0,idle
50,2,94,26,studying
1000,0,10,0,idle
0,1,43,1,idle
0,1,6,2,idle
3,1,48,3,passive
0,1,47,1,idle
4,1,43,4,passive
1,1,0,1,idle
0,0,0,0,idle
-5,1,50,5,passive
1,1,47,7,passive
40,2,78,44,studying
23,2,97,46,studying
11,2,75,19,studying
2,1,23,2,idle
2,0,29,0,idle
22,2,70,28,studying
2,1,52,2,passive
0,1,43,1,idle
2,1,47,6,passive
3,1,62,5,passive
0,2,10,1,passive
1,0,37,0,idle
0,0,0,0,idle
0,0,6,1,idle
1000,0,10,0,idle
0,1,1,2,idle
0,1,16,2,idle
2,1,500,5,studying
1,1,41,4,passive
48,2,74,25,studying
1,1,68,4,passive
1,1,13,0,idle
2,1,58,3,passive
1,1,31,2,idle
0,0,0,0,idle
0,1,24,2,idle
10,2,87,14,studying
5,1,49,2,passive
0,0,48,1,idle
3,1,51,4,passive
0,1,46,2,idle
1,1,54,5,passive
5000,2,100,200,studying
0,0,22,2,idle
-5,1,50,5,passive
3,1,62,3,passive
1,1,13,0,idle
2,1,500,5,studying
1,1,70,6,passive
4,1,43,4,passive
0,2,10,1,passive
0,0,20,100,passive
1,1,43,7,passive
2,1,62,9,passive
13,2,80,46,studying
1,1,67,6,passive
5,1,45,4,passive
2,1,14,1,idle
3,1,40,7,passive
2,1,60,6,passive
1000,0,10,0,idle
0,0,38,0,idle
1,1,29,2,idle
1,0,2,2,idle
0,0,20,100,passive
1,1,43,5,passive
25,2,100,7,studying
5,1,64,6,passive
48,2,71,11,studying
1,1,44,10,passive
0,0,14,1,idle
1,0,54,0,idle
2,1,500,5,studying
2,1,55,5,passive
28,2,64,13,studying
0,0,51,2,idle
4,1,53,3,passive
2,1,19,2,idle
5000,2,100,200,studying
2,1,52,10,passive
4,1,56,3,passive
1000,0,10,0,idle
17,2,94,25,studying
3,1,48,2,passive
3,1,66,9,passive
27,2,61,10,studying
2,1,20,1,idle
0,2,10,1,passive
1000,0,10,0,idle
0,1,38,2,idle
0,0,20,100,passive
1,1,66,10,passive
0,0,8,2,idle
1,0,59,2,idle
50,2,74,39,studying
1,1,0,2,idle
47,2,96,8,studying
2,1,53,10,passive
4,2,69,43,studying
16,2,73,47,studying
3,1,66,5,passive
5,1,47,4,passive
1,1,69,2,passive
2,1,50,0,idle
4,1,68,8,passive
1,1,9,1,idle
0,1,4,0,idle
2,1,55,10,passive
0,0,17,2,idle
6,2,77,14,studying
4,1,44,4,passive
39,2,64,29,studying
5,1,51,10,passive
2,0,60,0,idle
5000,2,100,200,studying
2,1,66,9,passive
20,2,93,45,studying
0,2,10,1,passive
-5,1,50,5,passive
5,2,78,37,studying
0,0,20,100,passive
1,1,65,7,passive
1,1,70,4,passive
5000,2,100,200,studying
46,2,93,24,studying
20,2,77,13,studying
3,1,61,3,passive
2,1,53,1,idle
14,2,97,19,studying
28,2,82,31,studying
-5,1,50,5,passive
4,2,87,26,studying
1,1,47,7,passive
5000,2,100,200,studying
4,1,61,2,passive
1,1,48,5,passive
2,0,27,2,idle
4,1,40,2,passive
9,2,71,45,studying
3,2,63,24,studying
42,2,61,47,studying
0,1,8,2,idle
31,2,93,44,studying
0,2,10,1,passive
0,0,58,2,idle
1000,0,10,0,idle
18,2,82,6,studying
1,1,45,1,idle
4,1,41,8,passive
8,2,97,18,studying
0,2,10,1,passive
2,0,6,2,idle
2,1,53,1,idle
36,2,75,6,studying
30,2,76,45,studying
1,1,52,0,idle
2,1,500,5,studying
2,1,47,0,idle
1,0,10,2,idle
49,2,65,21,studying
5000,2,100,200,studying
0,0,20,100,passive
41,2,75,16,studying
30,2,82,9,studying
14,2,80,45,studying
0,0,20,100,passive
0,0,13,0,idle
1,0,39,1,idle
2,1,500,5,studying
0,0,0,0,idle
45,2,61,6,studying
0,0,35,2,idle
2,1,55,2,passive
1,1,56,7,passive
3,1,58,7,passive
7,2,70,43,studying
3,1,53,3,passive
35,2,85,15,studying
5000,2,100,200,studying
5,2,62,37,studying
2,1,13,1,idle
38,2,95,20,studying
21,2,92,39,studying
0,0,8,0,idle
0,0,21,1,idle
0,1,32,1,idle
0,2,10,1,passive
22,2,98,17,studying
2,1,49,5,passive
45,2,66,29,studying
0,0,0,0,idle
1,1,40,3,passive
41,2,87,42,studying
4,2,94,11,studying
5000,2,100,200,studying
3,1,69,3,passive
0,2,10,1,passive
2,1,69,9,passive
1,0,19,0,idle
0,2,10,1,passive
44,2,60,8,studying
4,1,47,4,passive
2,1,500,5,studying
45,2,79,20,studying
2,1,10,0,idle
2,0,17,2,idle
1,1,22,2,idle
28,2,71,13,studying
5000,2,100,200,studying
1,1,70,7,passive
2,0,41,2,idle
0,0,13,2,idle
1,0,19,0,idle
22,2,85,32,studying
48,2,76,34,studying
2,1,500,5,studying
2,1,53,4,passive
0,2,10,1,passive
5,1,62,9,passive
21,2,76,34,studying
1,0,55,2,idle
19,2,90,48,studying
0,0,20,100,passive
3,1,48,5,passive
2,1,0,2,idle
0,2,10,1,passive
1,0,48,1,idle
1,1,59,10,passive
35,2,87,11,studying
0,0,0,0,idle
5,1,67,10,passive
0,0,9,2,idle
4,1,68,10,passive
3,1,65,4,passive
0,0,54,0,idle
0,2,10,1,passive
1,1,39,1,idle
0,0,0,0,idle
2,1,500,5,studying
5000,2,100,200,studying
15,2,72,42,studying
0,0,2,1,idle
-5,1,50,5,passive
24,2,61,29,studying
0,0,46,2,idle
1,0,24,0,idle
0,0,20,100,passive
24,2,98,50,studying
0,0,0,0,idle
5,1,46,8,passive
1,1,0,2,idle
1,1,64,3,passive
3,1,61,6,passive
0,0,32,1,idle
18,2,100,50,studying
45,2,93,19,studying
0,1,41,2,idle
2,1,58,0,idle
2,0,35,2,idle
17,2,65,26,studying
0,0,20,100,passive
0,0,59,2,idle
2,1,46,4,passive
4,1,49,6,passive
-5,1,50,5,passive
1,1,40,5,passive
12,2,74,30,studying
0,1,12,0,idle
1000,0,10,0,idle
29,2,62,21,studying
46,2,96,20,studying
34,2,63,27,studying
0,0,20,100,passive
2,1,24,1,idle
23,2,68,24,studying
0,0,28,0,idle
14,2,82,46,studying
4,2,99,49,studying
0,1,52,2,idle
31,2,95,23,studying
-5,1,50,5,passive
5000,2,100,200,studying
19,2,79,45,studying
4,1,67,10,passive
-5,1,50,5,passive
5,1,49,2,passive
5,2,90,29,studying
0,0,3,0,idle
0,2,10,1,passive
14,2,93,36,studying
2,1,40,0,idle
5000,2,100,200,studying
36,2,78,17,studying
33,2,91,38,studying
1,1,9,1,idle
16,2,90,23,studying
0,1,15,2,idle
0,0,20,100,passive
3,1,50,7,passive
1,0,26,0,idle
0,0,20,100,passive
0,1,28,0,idle
2,1,45,7,passive
0,0,31,2,idle
3,2,91,26,studying
12,2,74,48,studying
32,2,100,41,studying
33,2,61,13,studying
1,1,56,2,idle
20,2,92,42,studying
1,1,42,10,passive
0,2,10,1,passive
5,1,47,5,passive
0,1,29,1,idle
1,0,47,0,idle
20,2,60,31,studying
4,1,60,9,passive
15,2,92,10,studying
12,2,71,10,studying
0,0,38,2,idle
19,2,93,32,studying
5000,2,100,200,studying
0,0,25,1,idle
32,2,78,50,studying
7,2,83,28,studying
1,1,70,6,passive
2,1,59,2,idle
46,2,75,37,studying
5000,2,100,200,studying
0,1,51,0,idle
25,2,85,48,studying
3,1,59,9,passive
1,1,44,7,passive
48,2,60,48,studying
3,1,69,10,passive
3,2,78,13,studying
22,2,91,27,studying
1,0,58,2,idle
1000,0,10,0,idle
0,1,27,0,idle
2,1,1,1,idle
0,2,10,1,passive
5,2,68,11,studying
7,2,94,17,studying
49,2,84,23,studying
2,1,63,9,passive
1,1,48,1,idle
8,2,63,9,studying
1,1,57,0,idle
5,1,53,10,passive
1,1,18,2,idle
1000,0,10,0,idle
22,2,89,6,studying
0,0,20,100,passive
2,1,49,6,passive
43,2,62,15,studying
1,1,23,0,idle
33,2,83,28,studying
1,1,40,5,passive
37,2,71,38,studying
42,2,65,21,studying
1,1,46,1,idle
2,1,45,10,passive
49,2,62,32,studying
1,1,43,5,passive
47,2,91,11,studying
3,1,59,5,passive
4,1,61,10,passive
5000,2,100,200,studying
2,1,67,9,passive
4,1,69,6,passive
-5,1,50,5,passive
2,1,47,7,passive
3,1,49,2,passive
39,2,92,20,studying
0,2,10,1,passive
0,1,60,0,idle
6,2,70,50,studying
4,1,60,9,passive
2,0,41,1,idle
4,2,87,41,studying
5,1,50,5,passive
0,0,19,2,idle
39,2,86,19,studying
1,0,45,0,idle
4,1,41,7,passive
1,0,51,2,idle
2,1,500,5,studying
1,0,41,1,idle
2,1,47,9,passive
2,1,44,4,passive
5,1,62,2,passive
22,2,60,40,studying
27,2,86,30,studying
8,2,61,12,studying
23,2,67,40,studying
1,0,34,1,idle
9,2,61,33,studying
2,1,500,5,studying
2,1,500,5,studying
5,1,44,4,passive
0,1,59,0,idle
7,2,69,11,studying
4,1,66,5,passive
2,1,62,7,passive
1000,0,10,0,idle
2,1,56,3,passive
0,0,0,0,idle
2,1,500,5,studying
12,2,89,13,studying
1,1,42,2,passive
2,1,55,0,idle
19,2,85,45,studying
50,2,79,41,studying
0,0,0,0,idle
1,1,65,9,passive
4,1,45,9,passive
4,1,56,4,passive
2,0,29,1,idle
3,1,58,8,passive
3,1,49,10,passive
2,0,24,0,idle
1,0,51,0,idle
2,1,52,8,passive
22,2,82,14,studying
1,1,70,3,passive
1,1,26,0,idle
5,1,57,9,passive
2,1,500,5,studying
1,0,26,2,idle
29,2,65,44,studying
2,1,31,1,idle
7,2,61,34,studying
2,1,61,9,passive
5000,2,100,200,studying
24,2,86,22,studying
2,1,57,2,idle
5000,2,100,200,studying
49,2,62,19,studying
0,0,0,0,idle
27,2,71,44,studying
0,2,10,1,passive
1,1,53,7,passive
30,2,95,40,studying
0,1,28,1,idle
5,1,68,9,passive
26,2,96,32,studying
2,0,56,0,idle
3,1,46,2,passive
0,0,20,100,passive
-5,1,50,5,passive
3,1,52,7,passive
38,2,66,39,studying
3,1,54,8,passive
0,1,38,2,idle
10,2,76,21,studying
0,2,10,1,passive
1,1,40,3,passive
2,0,42,2,idle
9,2,68,5,studying
5,1,61,9,passive
2,1,53,3,passive
2,1,55,5,passive
23,2,93,13,studying
24,2,90,33,studying
1,1,60,5,passive
2,1,43,7,passive
5,1,68,5,passive
40,2,69,48,studying
2,1,54,5,passive
26,2,76,7,studying
12,2,69,5,studying
4,1,45,3,passive
1,1,45,10,passive
3,1,67,2,passive
20,2,94,29,studying
5,1,55,10,passive
4,1,58,4,passive
21,2,63,17,studying
2,1,49,6,passive
2,1,500,5,studying
3,1,66,5,passive
2,1,69,9,passive
7,2,97,50,studying
0,1,20,0,idle
2,0,7,0,idle
14,2,80,27,studying
5,1,62,10,passive
5,1,54,3,passive
2,0,60,2,idle
1,1,32,1,idle
1,0,35,1,idle
1,1,49,9,passive
1,1,69,3,passive
18,2,92,50,studying
-5,1,50,5,passive
2,1,67,10,passive
8,2,81,27,studying
5,1,69,6,passive
7,2,89,43,studying
2,1,22,0,idle
2,0,43,1,idle
-5,1,50,5,passive
19,2,70,17,studying
1000,0,10,0,idle
1,0,59,2,idle
5000,2,100,200,studying
1,1,56,2,idle
0,0,9,0,idle
1,1,43,2,passive
2,1,68,3,passive
0,0,36,2,idle
2,1,68,2,passive
0,0,0,0,idle
49,2,99,9,studying
2,0,59,2,idle
-5,1,50,5,passive
2,1,12,1,idle
22,2,76,13,studying
0,0,45,0,idle
19,2,94,34,studying
1000,0,10,0,idle
1,0,11,0,idle
1000,0,10,0,idle
0,0,20,100,passive
4,1,50,7,passive
30,2,89,48,studying
36,2,71,7,studying
2,0,31,1,idle
19,2,90,11,studying
4,1,69,3,passive
2,1,7,0,idle
29,2,70,6,studying
2,1,500,5,studying
-5,1,50,5,passive
2,1,61,4,passive
2,0,46,2,idle
23,2,96,17,studying
25,2,90,40,studying
4,1,67,9,passive
0,1,35,0,idle
4,1,48,5,passive
-5,1,50,5,passive
45,2,88,26,studying
-5,1,50,5,passive
2,1,59,4,passive
-5,1,50,5,passive
-5,1,50,5,passive
38,2,73,18,studying
11,2,86,19,studying
1,1,56,3,passive
2,0,14,2,idle
42,2,68,39,studying
5000,2,100,200,studying
2,0,34,2,idle
4,1,58,7,passive
1000,0,10,0,idle
5,2,66,42,studying
1,1,29,2,idle
12,2,91,39,studying
0,0,0,0,idle
10,2,85,25,studying
43,2,64,28,studying
0,0,0,0,idle
37,2,80,37,studying
29,2,65,14,studying
40,2,76,31,studying
2,1,29,1,idle
4,1,59,3,passive
0,1,11,2,idle
3,1,42,5,passive
2,1,53,2,passive
1,1,68,9,passive
1,1,13,2,idle
5,1,47,5,passive
46,2,97,38,studying
1,1,49,10,passive
1,0,47,2,idle
2,1,47,3,passive
42,2,91,23,studying
1,0,31,2,idle
1000,0,10,0,idle
1000,0,10,0,idle
2,0,2,1,idle
30,2,87,10,studying
1,0,39,2,idle
4,1,46,6,passive
5,1,67,8,passive
1,1,49,10,passive
32,2,96,5,studying
0,0,0,0,idle
2,0,21,2,idle
1,1,3,0,idle
1,1,52,6,passive
5,1,57,4,passive
0,0,2,2,idle
17,2,96,22,studying
4,1,70,9,passive
4,1,55,5,passive
2,0,20,1,idle
0,0,0,0,idle
4,1,40,5,passive
1,0,41,2,idle
2,1,43,2,idle
1,1,4,1,idle
1,1,25,2,idle
5,1,52,3,passive
-5,1,50,5,passive
-5,1,50,5,passive
3,1,52,3,passive
5,1,56,10,passive
1,1,58,8,passive
2,1,30,1,idle
34,2,78,24,studying
2,0,30,1,idle
0,0,58,1,idle
4,1,45,2,passive
48,2,64,50,studying
4,1,69,8,passive
46,2,77,21,studying
1,1,0,0,idle
42,2,63,9,studying
